# Google_Product_Taxonomy_Version: 2015-02-19
772 - Adultos
780 - Adultos > Armas
2214 - Adultos > Armas > Acessórios e cuidados para armas
503026 - Adultos > Armas > Acessórios e cuidados para armas > Acessórios e equipamentos de recarga
499857 - Adultos > Armas > Acessórios e cuidados para armas > Acessórios e equipamentos de recarga > Prensas para recarga de munição
505762 - Adultos > Armas > Acessórios e cuidados para armas > Caixas e suportes de munição
1822 - Adultos > Armas > Acessórios e cuidados para armas > Canhões elétricos
1783 - Adultos > Armas > Acessórios e cuidados para armas > Coldres para armas
499853 - Adultos > Armas > Acessórios e cuidados para armas > Correias para armas
1806 - Adultos > Armas > Acessórios e cuidados para armas > Culatras
503021 - Adultos > Armas > Acessórios e cuidados para armas > Limpeza de armas
499856 - Adultos > Armas > Acessórios e cuidados para armas > Limpeza de armas > Esponjas para limpeza de armas
499855 - Adultos > Armas > Acessórios e cuidados para armas > Limpeza de armas > Panos e cotonetes para limpeza de armas
499854 - Adultos > Armas > Acessórios e cuidados para armas > Limpeza de armas > Solventes para limpeza de armas
5067 - Adultos > Armas > Acessórios e cuidados para armas > Luzes de arma
500048 - Adultos > Armas > Acessórios e cuidados para armas > Maletas e bolsas para armas
781 - Adultos > Armas > Acessórios e cuidados para armas > Munição
3924 - Adultos > Armas > Armas de bastão
727 - Adultos > Armas > Armas imobilizadoras
3437 - Adultos > Armas > Chicotes
3666 - Adultos > Armas > Espadas
3694 - Adultos > Armas > Estrelas de arremesso
6109 - Adultos > Armas > Facas militares
7175 - Adultos > Armas > Lanças e azagaias
3092 - Adultos > Armas > Nunchaku
782 - Adultos > Armas > Pistolas
7567 - Adultos > Armas > Porretes e bastões
3833 - Adultos > Armas > Soqueiras de metal
726 - Adultos > Armas > Spray de pimenta
773 - Adultos > Erótico
778 - Adultos > Erótico > Brinquedos eróticos
5055 - Adultos > Erótico > Comidas afrodisíacas
776 - Adultos > Erótico > DVDs e vídeos eróticos
6040 - Adultos > Erótico > Jogos eróticos
6536 - Adultos > Erótico > Kits para pole dancing
779 - Adultos > Erótico > Livros eróticos
4060 - Adultos > Erótico > Revistas eróticas
774 - Adultos > Erótico > Roupas eróticas
412 - Alimentos, bebidas e tabaco
5804 - Alimentos, bebidas e tabaco > Alimentos > Carne, frutos do mar e ovos > Carne > Carnes prontas e fatiadas
4629 - Alimentos, bebidas e tabaco > Alimentos > Carne, frutos do mar e ovos > Frutos do mar
5813 - Alimentos, bebidas e tabaco > Alimentos > Carne, frutos do mar e ovos > Frutos do mar > Frutos do mar enlatados
5812 - Alimentos, bebidas e tabaco > Alimentos > Carne, frutos do mar e ovos > Frutos do mar > Frutos do mar frescos e congelados
4627 - Alimentos, bebidas e tabaco > Alimentos > Carne, frutos do mar e ovos > Ovos
136 - Alimentos, bebidas e tabaco > Alimentos > Cestas de alimentos para presente
427 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos
5760 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Azeitonas e alcaparras
4943 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Calda
6845 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Coberturas de sobremesa
6844 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Coberturas de sobremesa > Cobertura
6854 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Coberturas de sobremesa > Coberturas de fruta
500074 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Escabeches e molhos para grelhar
500076 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Frutas e vegetais em conserva
2018 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Ketchup
1568 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Maionese
4947 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Mel
6772 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molho coquetel
6905 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molho curry
5762 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molho de carne
5763 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molho de peixe
4614 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molho de pimenta
6203 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molho de pizza
6782 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molho de raiz-forte
4616 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molho de soja
6246 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molho inglês
4615 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molho satay
6783 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molho tártaro
500089 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molhos agridoces
500105 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molhos brancos e béchamel
5759 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molhos para massas
1969 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molhos para saladas
500075 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Molhos relish e chutney
1387 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Mostarda
4692 - Alimentos, bebidas e tabaco > Alimentos > Condimentos e molhos > Taine
4748 - Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates
6219 - Alimentos, bebidas e tabaco > Alimentos > Frutas cristalizadas ou cobertas de chocolate
430 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais
5794 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Caldas de frutas
5797 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Feijão em lata
5796 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Feijão seco
5799 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas em conserva e enlatadas
5795 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas
6572 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Abacates
6670 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Abacaxis
6647 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Abricó-do-pará
6602 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Anonas
6571 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Atemoias
6573 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Babacos
6582 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Bagas
6574 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Bananas
6671 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Camapu
6672 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Caquis
6594 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Carambolas
6809 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Cocos
6614 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Feijoas
6810 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Figos
6814 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Fruta-pinha
6589 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Fruta-pão
503760 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço
6674 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Ameixas
6601 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Cerejas
6567 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Damascos
6646 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Mangas
6675 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Plumcots
505301 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas com caroço > Pêssegos e nectarinas
503759 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas
6632 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Kumquats
6658 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Laranjas
6642 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Limas
6641 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Limequats
6636 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Limões
6697 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Tangelos
6621 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Toranjas
6625 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Goiabas
6691 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Graviolas
6624 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Homli
6633 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Kiwis
6638 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Lichias
6640 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Longans
6645 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Mangostões
6667 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Maracujás
6679 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Marmelos
6566 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Maçãs
6813 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Medronho
6649 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Melões
499906 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Misturas de frutas
6639 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Nêsperas
6661 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Papaias
6665 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Peras
6593 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Peras espinhosas
6676 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Pitaias
6678 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Rambutões
6673 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Romãs
6688 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Sapodillos
6687 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Sapotas
6698 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Tamarindos
6812 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Tâmaras
6626 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Uvas
1755 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas secas
5798 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes em conserva e enlatados
5793 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados
505354 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Abóboras e cabaços
6700 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Agrião
6599 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Aipos
6596 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Alcachofra-brava
6693 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Alcachofra-de-jerusalém
6570 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Alcachofras
6620 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Alho
6627 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Alho-poró
6568 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Aspargos
6586 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Batatas
6585 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Batatas doces
6613 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Berinjelas
6580 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Beterrabas
6587 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Borragem
503761 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Brotos
6591 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Brócolis
6816 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Bulbos de funcho
6694 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Cana de açúcar
6701 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Castanha-d'água
6655 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Cebolas
6595 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Cenouras
6818 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Chalotas
6663 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Cherovia
6653 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Cogumelos
6600 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Couve-flor
6628 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Couve-rábano
6590 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Couves-de-bruxelas
6669 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Ervilhas
6577 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Feijões
6808 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Folhas de cacto
7193 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Grama de trigo
8515 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Inhame
6630 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Jicamas
6617 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Kai-lan
6643 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Malangas
6705 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Mandioca
6716 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Mandioquinha
6609 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Milho
499905 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Misturas de legumes
6616 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Mostarda-castanha
505329 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Nabos e nutabagas
6608 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Pepinos
6668 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Pimentas
6657 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Quiabo
6682 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Rabanetes
6704 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raiz de taro
6631 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raiz-forte
6644 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raíz de lótus
6598 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raízes de aipo
6618 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raízes de bardana
6619 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raízes de gengibre
6664 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Raízes de salsa
6592 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Repolho
6681 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Ruibarbos
6615 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Samambaias fiddlehead
6692 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Tamarilhos
6703 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Tomates
6622 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras
6597 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Acelga
6637 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Alface
6717 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Chicória
6610 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Choi sum
6629 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Couve-de-folhas
6695 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Espinafre
6656 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Espinafre de água
6581 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Folhas de beterraba
5792 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Misturas para saladas
6584 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Repolhos chineses
6569 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Rúcula
6706 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Yu choy
7387 - Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes secos
431 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais
4683 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Amaranto
4682 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Arroz
4690 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Aveias, grãos e farinha de aveia
7374 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Centeio
4689 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Cereais e granola
4687 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Cevada
7196 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Cuscuz
4686 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Milhete
6259 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Quinoa
4688 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Trigo
4684 - Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Trigo-sarraceno
2660 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados
5771 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Amido ou fécula
5775 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Aromatizantes e extratos para confeitaria
503734 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Açúcar e adoçantes
5105 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Açúcar para algodão doce
5774 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Bicarbonato de sódio
6754 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Chips para assados
5776 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Chocolate amargo
5769 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Coberturas e glacê
7127 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Corantes alimentares
5773 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Crocantes de pão
7354 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Culturas de fermentação
6775 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Decorações de bolo comestíveis
2775 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Farinha
8076 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Farinha de trigo integral
2905 - Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Fermento
